[21.01.2025, 17:59:45] Алуа Боевик❤️: Нет
[22.02.2025, 11:22:39] Алуа Боевик❤️: 94’3-го
[22.02.2025, 11:22:45] Алуа Боевик❤️: 93-го
[22.02.2025, 11:22:50] Алуа Боевик❤️: Выглядит на 38
[22.02.2025, 11:22:53] Алуа Боевик❤️: Пиздец
[22.02.2025, 11:23:15] Алуа Боевик❤️: Мы реально очень хорошо выглядим 
Тфу тфу
[22.02.2025, 11:41:01] Айман: Это кто
‎[22.02.2025, 11:54:31] Алуа Боевик❤️: ‎audio omitted
[22.02.2025, 19:11:57] Айман: Кто хочет
[22.02.2025, 19:11:59] Айман: Поесть?
[22.02.2025, 20:19:34] Алуа Боевик❤️: Люди к 11-12 думаю
[22.02.2025, 20:19:36] Алуа Боевик❤️: Нормально
[22.02.2025, 20:19:41] Алуа Боевик❤️: Сказать
[22.02.2025, 20:19:46] Алуа Боевик❤️: Раньше 11 не успеваю
[22.02.2025, 20:20:58] Асем ❤️🤗: Я напишу когда буду в Астане
[22.02.2025, 20:21:09] Алуа Боевик❤️: Давай жаз
‎[22.02.2025, 20:44:05] Жазира❤️😍🤰: ‎video omitted
[22.02.2025, 20:44:54] Жазира❤️😍🤰: 23год
[22.02.2025, 21:47:34] Айман: ‎You received a view once video. For added privacy, you can only open it on your phone.
[22.02.2025, 21:47:57] Акнур: Пикассо
[24.02.2025, 19:11:18] Айман: ### **Расклад Таро на отношения Асемы и Еркина**  

**1. Прошлое – Туз мечей**  
В ваших отношениях недавно произошла ясность или серьезное осознание. Возможно, кто-то из вас принял важное решение или была откровенная беседа, которая расставила все точки над "i". Это могло быть начало отношений или важный разговор о будущем.  

**2. Настоящее – Туз кубков**  
Между вами есть сильные чувства, романтика и эмоциональная связь. Карта указывает на любовь и взаимопонимание. Если в отношениях были сложности, сейчас идет этап обновления, новых эмоций и вдохновения.  

**3. Будущее – Повешенный**  
В ближайшее время могут возникнуть задержки или ситуация, требующая терпения. Возможно, один из вас будет сомневаться или бояться двигаться дальше. Карта говорит о периоде раздумий, когда отношения могут приостановиться или требовать жертвы ради их развития.  

**4. Совет – Туз жезлов**  
Совет карт – действовать, проявлять инициативу и не бояться новых начинаний. Важно не затягивать с решениями, а идти вперед с энтузиазмом. Это также может указывать на страсть и физическое влечение, которое играет большую роль в ваших отношениях.  

**5. Итог – Звезда**  
Это очень хорошая карта, говорящая о надежде и перспективе. Если вы будете терпеливы и искренни друг с другом, ваши отношения могут развиваться в лучшую сторону. Возможность брака есть, но для этого нужно преодолеть период ожидания и неопределенности. Звезда указывает на светлое будущее, если оба партнера готовы работать над отношениями.  

### **Вывод**  
Сейчас ваши отношения наполнены чувствами, но впереди может быть пауза или испытание. Чтобы прийти к гармонии и возможному браку, нужно проявлять инициативу и не бояться перемен. В целом прогноз благоприятный, но многое зависит от ваших решений и действий.
[24.02.2025, 19:13:53] Айман: ### **Мысли и чувства Еркина про Асему**  

**1. Мысли – Колесница**  
Еркин видит Асему как важного человека в своей жизни, и его мысли связаны с движением вперед. Он, скорее всего, размышляет о развитии отношений, возможном будущем и о том, как направить их в нужное русло. Возможно, он хочет взять ситуацию под контроль и принимать активные решения.  

**2. Чувства – Башня**  
Эта карта указывает на сильные эмоциональные потрясения. Либо в его чувствах произошел резкий перелом, либо он боится разрушения отношений. Может быть, его что-то шокировало или заставило переосмыслить свои эмоции к Асеме. Он испытывает нечто сильное, но пока это больше хаос, чем стабильность.  

**3. Намерения – Король кубков**  
В глубине души он хочет быть эмоционально зрелым партнером. Его намерения не поверхностны — он стремится к отношениям, где есть доверие, поддержка и искренние чувства. Однако из-за Башни в чувствах он, возможно, еще не до конца разобрался в себе.  

### **Вывод**  
Еркин думает об отношениях с Асемой всерьез и хочет двигаться вперед, но в его чувствах произошел серьезный перелом или осознание. Возможно, он переживает кризис или боится, что что-то может разрушиться. В будущем он хочет прийти к эмоциональной зрелости и стабильности, но пока ему нужно разобраться в своих эмоциях.
[24.02.2025, 19:14:40] Айман: ### **Совет карт для Асемы в отношениях с Еркином**  

**1. Что делать – Повешенный**  
Карты советуют не торопить события и дать ситуации развиваться естественным путем. Сейчас может быть период ожидания, переосмысления или даже необходимости посмотреть на отношения под другим углом. Важно не спешить с решением и позволить Еркину самому прийти к осознанию своих чувств.  

**2. Чего избегать – Император**  
Не стоит пытаться полностью контролировать ситуацию или навязывать свою волю. Император символизирует стабильность и власть, но в данном случае карта предупреждает, что излишняя строгость или попытка взять все под контроль могут привести к конфликту. Дайте Еркину пространство, чтобы он сам проявил инициативу.  

**3. Итог – Король жезлов**  
Если следовать совету карт, в будущем отношения могут укрепиться. Еркин может проявить больше уверенности, харизмы и желания брать на себя ответственность. Это указывает на более стабильные отношения, где партнер будет действовать более решительно и осознанно.  

### **Вывод**  
Карты советуют Асеме набраться терпения и не пытаться ускорять процесс. Пусть Еркин сам осознает свои чувства и сделает шаг навстречу. Главное – не давить, но и не терять уверенность в себе. В будущем есть шанс на укрепление отношений и проявление со стороны Еркина большей инициативы.
[24.02.2025, 19:18:19] Айман: Вот ваш расклад Таро на тему отношений и замужества:

1. **Ваши желания и ожидания в отношениях – Иерофант**  
   Вы ищете стабильные, традиционные отношения, основанные на доверии и общих ценностях. Возможно, для вас важны брак, духовное единство или следование определённым принципам в союзе. Вы хотите партнёра, который разделяет ваши убеждения и стремится к серьезным обязательствам.

2. **Вероятность встречи нового партнёра – Шестерка Жезлов**  
   Карта говорит о высоких шансах встретить достойного человека, особенно если вы проявите активность и уверенность в себе. Это карта победителя, указывающая, что вы находитесь в периоде, когда можете привлечь успешного, уверенного в себе партнёра. Возможно, эта встреча произойдёт через социальные мероприятия или благодаря вашим достижениям.

3. **Будет ли новый партнёр соответствовать вашим ожиданиям – Девятка Кубков**  
   Эта карта – символ исполнения желаний и внутреннего удовлетворения. Скорее всего, будущие отношения принесут вам радость и ощущение эмоционального комфорта. Ваш партнёр, вероятно, будет вас ценить и делать всё, чтобы вы чувствовали себя счастливой.

4. **Совет Таро для успешного развития отношений – Королева Мечей**  
   Будьте рассудительны и сохраняйте ясность мышления. Эта карта советует не поддаваться иллюзиям, а трезво оценивать ситуацию и своего партнёра. Возможно, вам нужно быть более независимой в своих решениях и не бояться выражать свою точку зрения.

### Итог:  
Расклад говорит о высоких шансах встретить достойного человека, который принесёт вам радость и гармонию. Главное – сохранять рассудительность, не бояться проявлять лидерские качества и чётко понимать свои желания в отношениях.

Если у вас есть дополнительные вопросы, я готова помочь!
[24.02.2025, 19:29:52] Айман: ### Расклад Таро на перспективу отношений (Асем и Еркин):

1. **Мысли партнера о вас и отношениях — "Смерть"**  
   Партнер воспринимает эти отношения как нечто, что должно сильно измениться. Возможно, он переживает трансформацию в своих чувствах или видит необходимость в завершении одного этапа и начале другого.

2. **Ваши мысли о партнере и отношениях — "Луна"**  
   У вас много сомнений, страхов и неясностей. Возможно, вы не до конца понимаете истинные намерения партнера или боитесь, что ситуация развивается не так, как хотелось бы.

3. **Чувства партнера к вам — "Солнце"**  
   Несмотря на перемены, партнер испытывает к вам теплые и искренние чувства. Он видит вас как человека, с которым можно быть счастливым, но, возможно, ему нужно время, чтобы окончательно разобраться в своих эмоциях.

4. **Ваши чувства к партнеру — "Справедливость"**  
   Вы стараетесь быть объективной и рациональной в отношениях. Возможно, вы оцениваете ситуацию с логической точки зрения и хотите, чтобы все было честно и сбалансированно.

5. **Действия, которые партнер готов предпринять — "Рыцарь Жезлов"**  
   Он может проявить активность, сделать решительный шаг в вашу сторону, но при этом его поведение может быть импульсивным, без долгосрочных планов.
